run,time_taken,iterations,verified,annotated_contract,function_status,threads
1,1553.6767964363098,55,False,"pragma solidity >=0.5.0;

contract ERC721 {

    // Events

    // State Variables

    // Functions
    /// @notice postcondition balance == _ownedTokensCount[_owner]
    /// @notice postcondition _owner != address(0)
    function balanceOf(address _owner) external view returns (uint256 balance);

    /// @notice postcondition _tokenOwner[_tokenId] == _owner
    /// @notice postcondition _owner != address(0)
    function ownerOf(uint256 _tokenId) external view returns (address _owner);

    /// @notice postcondition true
    function approve(address _approved, uint256 _tokenId) external;

    /// @notice postcondition _tokenApprovals[_tokenId] == approved
    /// @notice postcondition !(approved != address(0)) || _tokenApprovals[_tokenId] == approved
    function getApproved(uint256 _tokenId) external view returns (address approved);

    /// @notice postcondition true
    function setApprovalForAll(address _operator, bool _approved) external;

    /// @notice postcondition _operatorApprovals[_owner][_operator] == approved
    function isApprovedForAll(address _owner, address _operator) external view returns (bool);

    /// @notice postcondition true
    function transferFrom(address _from, address _to, uint256 _tokenId) external;

    /// @notice postcondition true
    function safeTransferFrom(address _from, address _to, uint256 _tokenId) external;

    /// @notice postcondition true
    function safeTransferFrom(address _from, address _to, uint256 _tokenId, bytes calldata _data) external;

}
","{'balanceOf': 'Verified', 'ownerOf': 'Verified', 'approve': 'Failed', 'getApproved': 'Verified', 'setApprovalForAll': 'Failed', 'isApprovedForAll': 'Verified', 'transferFrom': 'Failed', 'safeTransferFrom': 'Failed'}","['thread_ozxhHBftlNhFttOTotuFjKTN', 'thread_YIVzHDswRlFjMx8xZGgFmsEJ', 'thread_v8oVsfFBZxKyyI0qC9n0y9Dr', 'thread_uMf3xraCPfvakTp3exI3zLnA', 'thread_RSgreifLdYVpdv3uGoRAaa33', 'thread_0Ag7IeCizPNFvczGZUHJbyOe', 'thread_HOtLnthbg9B40v30JMfvFMmM', 'thread_jNeBgwpYqbnlONB494hfrClC', 'thread_alznCBemiBFPdbQBCZ8rUcYb']"
2,1430.2375528812408,54,False,"pragma solidity >=0.5.0;

contract ERC721 {

    // Events

    // State Variables

    // Functions
    /// @notice postcondition balance == _ownedTokensCount[_owner]
    /// @notice postcondition _owner != address(0)
    function balanceOf(address _owner) external view returns (uint256 balance);

    /// @notice postcondition _tokenOwner[_tokenId] == _owner
    /// @notice postcondition _owner != address(0)
    function ownerOf(uint256 _tokenId) external view returns (address _owner);

    /// @notice postcondition true
    function approve(address _approved, uint256 _tokenId) external;

    /// @notice postcondition _tokenApprovals[_tokenId] == approved
    /// @notice postcondition approved != address(0) || _tokenApprovals[_tokenId] == address(0)
    function getApproved(uint256 _tokenId) external view returns (address approved);

    /// @notice postcondition true
    function setApprovalForAll(address _operator, bool _approved) external;

    /// @notice postcondition _operatorApprovals[_owner][_operator] == approved
    function isApprovedForAll(address _owner, address _operator) external view returns (bool);

    /// @notice postcondition true
    function transferFrom(address _from, address _to, uint256 _tokenId) external;

    /// @notice postcondition true
    function safeTransferFrom(address _from, address _to, uint256 _tokenId) external;

    /// @notice postcondition true
    function safeTransferFrom(address _from, address _to, uint256 _tokenId, bytes calldata _data) external;

}
","{'balanceOf': 'Verified', 'ownerOf': 'Verified', 'approve': 'Failed', 'getApproved': 'Verified', 'setApprovalForAll': 'Failed', 'isApprovedForAll': 'Verified', 'transferFrom': 'Failed', 'safeTransferFrom': 'Failed'}","['thread_G2vycvvuZEETz5D5jLcBIVIW', 'thread_Kvo7AAjHinT9lnY4r3abkmku', 'thread_VjU9ciQZB57sPMhZVxGUREa5', 'thread_1EJClGuzfMliD7OKGma2MluB', 'thread_j09R63GX3t6n5cJHhzogIGau', 'thread_Qgc1znxOepUwJLnZBvmBNPAP', 'thread_peYUXiOsNDU7cEbFbsGm1cDt', 'thread_ashU9fjsrNCEF0TjXmVsY60g', 'thread_OIk26P9yg5mjnSjbMaA6xUaK']"
3,1306.4066667556763,54,False,"pragma solidity >=0.5.0;

contract ERC721 {

    // Events

    // State Variables

    // Functions
    /// @notice postcondition balance == _ownedTokensCount[_owner]
    /// @notice postcondition _owner != address(0)
    function balanceOf(address _owner) external view returns (uint256 balance);

    /// @notice postcondition _tokenOwner[_tokenId] == _owner
    /// @notice postcondition _owner != address(0)
    function ownerOf(uint256 _tokenId) external view returns (address _owner);

    /// @notice postcondition true
    function approve(address _approved, uint256 _tokenId) external;

    /// @notice postcondition approved == _tokenApprovals[_tokenId]
    /// @notice postcondition _tokenOwner[_tokenId] != address(0) || approved == address(0)
    function getApproved(uint256 _tokenId) external view returns (address approved);

    /// @notice postcondition true
    function setApprovalForAll(address _operator, bool _approved) external;

    /// @notice postcondition approved == _operatorApprovals[_owner][_operator]
    function isApprovedForAll(address _owner, address _operator) external view returns (bool);

    /// @notice postcondition true
    function transferFrom(address _from, address _to, uint256 _tokenId) external;

    /// @notice postcondition true
    function safeTransferFrom(address _from, address _to, uint256 _tokenId) external;

    /// @notice postcondition true
    function safeTransferFrom(address _from, address _to, uint256 _tokenId, bytes calldata _data) external;

}
","{'balanceOf': 'Verified', 'ownerOf': 'Verified', 'approve': 'Failed', 'getApproved': 'Verified', 'setApprovalForAll': 'Failed', 'isApprovedForAll': 'Verified', 'transferFrom': 'Failed', 'safeTransferFrom': 'Failed'}","['thread_OtXT7nxr0qt5fHoJ1pWxlryx', 'thread_oInYA9NvE2zh7IGyzHHuvb1P', 'thread_7OoPiXiZClGX50zaN7R3dkbk', 'thread_48blPmg0YncHKgx1vcVjR8Wu', 'thread_k5okUnSD59ClM1B5EDFSiaQ7', 'thread_tmXLg5rRFljkbsUw47HHbuTJ', 'thread_h0Jm7nS5clxxD8xqSPLWVOqE', 'thread_N7XxksjKh2JRbPGRtPbIRnEw', 'thread_63nlFMY7B8hdmsdP38XS4iRP']"
4,1426.023092508316,57,False,"pragma solidity >=0.5.0;

contract ERC721 {

    // Events

    // State Variables

    // Functions
    /// @notice postcondition balance == _ownedTokensCount[_owner]
    /// @notice postcondition _owner != address(0)
    function balanceOf(address _owner) external view returns (uint256 balance);

    /// @notice postcondition _tokenOwner[_tokenId] == _owner
    /// @notice postcondition _owner != address(0)
    function ownerOf(uint256 _tokenId) external view returns (address _owner);

    /// @notice postcondition true
    function approve(address _approved, uint256 _tokenId) external;

    /// @notice postcondition _tokenApprovals[_tokenId] == approved
    /// @notice postcondition !(approved != address(0)) || _tokenApprovals[_tokenId] == approved
    function getApproved(uint256 _tokenId) external view returns (address approved);

    /// @notice postcondition true
    function setApprovalForAll(address _operator, bool _approved) external;

    /// @notice postcondition approved == _operatorApprovals[_owner][_operator]
    function isApprovedForAll(address _owner, address _operator) external view returns (bool);

    /// @notice postcondition true
    function transferFrom(address _from, address _to, uint256 _tokenId) external;

    /// @notice postcondition true
    function safeTransferFrom(address _from, address _to, uint256 _tokenId) external;

    /// @notice postcondition true
    function safeTransferFrom(address _from, address _to, uint256 _tokenId, bytes calldata _data) external;

}
","{'balanceOf': 'Verified', 'ownerOf': 'Verified', 'approve': 'Failed', 'getApproved': 'Verified', 'setApprovalForAll': 'Failed', 'isApprovedForAll': 'Verified', 'transferFrom': 'Failed', 'safeTransferFrom': 'Failed'}","['thread_5Gwb8xSnAHsiw8l8LFTZe6a7', 'thread_RlI3xQkjR363fRr54OH4QEcy', 'thread_vYHUYpikMgQw0aCRjvgIpDdi', 'thread_PgCrBYBEzsk09GHe6gDpiuBW', 'thread_RPRlPq661gNrxkuOydKG4ZhJ', 'thread_A21TmjoyxThYnQ0QbP7HXNVC', 'thread_BpNbgSzhma7IxhhTL2TiaFtt', 'thread_PY1enbrMyIPb62EOPT1lAm8g', 'thread_jSOQCz7ohiHzkYeGpe1Pkp3j']"
5,1406.8024227619171,55,False,"pragma solidity >=0.5.0;

contract ERC721 {

    // Events

    // State Variables

    // Functions
    /// @notice postcondition balance == _ownedTokensCount[_owner]
    /// @notice postcondition _owner != address(0)
    function balanceOf(address _owner) external view returns (uint256 balance);

    /// @notice postcondition _tokenOwner[_tokenId] == _owner
    /// @notice postcondition _owner != address(0)
    function ownerOf(uint256 _tokenId) external view returns (address _owner);

    /// @notice postcondition true
    function approve(address _approved, uint256 _tokenId) external;

    /// @notice postcondition _tokenApprovals[_tokenId] == approved
    /// @notice postcondition !(approved != address(0)) || _tokenApprovals[_tokenId] == approved
    function getApproved(uint256 _tokenId) external view returns (address approved);

    /// @notice postcondition true
    function setApprovalForAll(address _operator, bool _approved) external;

    /// @notice postcondition _operatorApprovals[_owner][_operator] == approved
    function isApprovedForAll(address _owner, address _operator) external view returns (bool);

    /// @notice postcondition true
    function transferFrom(address _from, address _to, uint256 _tokenId) external;

    /// @notice postcondition true
    function safeTransferFrom(address _from, address _to, uint256 _tokenId) external;

    /// @notice postcondition true
    function safeTransferFrom(address _from, address _to, uint256 _tokenId, bytes calldata _data) external;

}
","{'balanceOf': 'Verified', 'ownerOf': 'Verified', 'approve': 'Failed', 'getApproved': 'Verified', 'setApprovalForAll': 'Failed', 'isApprovedForAll': 'Verified', 'transferFrom': 'Failed', 'safeTransferFrom': 'Failed'}","['thread_bQd87PlLtqBN4Zjo3saBTxRz', 'thread_vJ0TaqQobKPdLnM23INpT4Qa', 'thread_qwYRyp8mzBtYnu3Wt2DCmq0P', 'thread_wZWQ43YOox9do2PKzdQmAuGK', 'thread_MTyf5qkWpIG0k67NlcpUlxNn', 'thread_R20O6wmPZodZAkD3lJCTUstC', 'thread_j9njPnqEd6Kdaj8ndG9ghy78', 'thread_AcTSOAABqxdmBPPIsmKIoCli', 'thread_JP7awsco6EzPZfqFFz0MAhac']"
6,1116.2240281105042,48,False,"pragma solidity >=0.5.0;

contract ERC721 {

    // Events

    // State Variables

    // Functions
    /// @notice postcondition balance == _ownedTokensCount[_owner]
    /// @notice postcondition _owner != address(0)
    function balanceOf(address _owner) external view returns (uint256 balance);

    /// @notice postcondition _tokenOwner[_tokenId] == _owner
    /// @notice postcondition _owner != address(0)
    function ownerOf(uint256 _tokenId) external view returns (address _owner);

    /// @notice postcondition _tokenApprovals[_tokenId] == _approved
    /// @notice postcondition _tokenApprovals[_tokenId] != address(0) || _approved == address(0)
    function approve(address _approved, uint256 _tokenId) external;

    /// @notice postcondition _tokenApprovals[_tokenId] == approved
    /// @notice postcondition !(approved != address(0)) || _tokenApprovals[_tokenId] == approved
    function getApproved(uint256 _tokenId) external view returns (address approved);

    /// @notice postcondition true
    function setApprovalForAll(address _operator, bool _approved) external;

    /// @notice postcondition approved == _operatorApprovals[_owner][_operator]
    function isApprovedForAll(address _owner, address _operator) external view returns (bool);

    /// @notice postcondition true
    function transferFrom(address _from, address _to, uint256 _tokenId) external;

    /// @notice postcondition true
    function safeTransferFrom(address _from, address _to, uint256 _tokenId) external;

    /// @notice postcondition true
    function safeTransferFrom(address _from, address _to, uint256 _tokenId, bytes calldata _data) external;

}
","{'balanceOf': 'Verified', 'ownerOf': 'Verified', 'approve': 'Verified', 'getApproved': 'Verified', 'setApprovalForAll': 'Failed', 'isApprovedForAll': 'Verified', 'transferFrom': 'Failed', 'safeTransferFrom': 'Failed'}","['thread_6FwpnDS4HnvYw4w8k9L2pvKx', 'thread_bIwOGb0UQek4VJ7yVmjuLIZC', 'thread_cCuS9JJwvvDfwdOibaAz2xyw', 'thread_6CHMBqReWQ0WXgCSzaERFTZv', 'thread_KQWyWQNlwMQglPXGEldgkp0U', 'thread_GRDenzccXYxsOGUl1IK1bZ3C', 'thread_hi5tcGoe1uhfgak7Sj11mnW9', 'thread_nfBqvrPO05crrLk7NHo6wkXl', 'thread_iT8c9hsPGb2AOG3Vgez7m6nu']"
7,1496.202952861786,63,False,"pragma solidity >=0.5.0;

contract ERC721 {

    // Events

    // State Variables

    // Functions
    /// @notice postcondition balance == _ownedTokensCount[_owner]
    /// @notice postcondition _owner != address(0)
    function balanceOf(address _owner) external view returns (uint256 balance);

    /// @notice postcondition _tokenOwner[_tokenId] == _owner
    /// @notice postcondition _owner != address(0)
    function ownerOf(uint256 _tokenId) external view returns (address _owner);

    /// @notice postcondition true
    function approve(address _approved, uint256 _tokenId) external;

    /// @notice postcondition approved == _tokenApprovals[_tokenId]
    /// @notice postcondition _tokenOwner[_tokenId] != address(0) || approved == address(0)
    function getApproved(uint256 _tokenId) external view returns (address approved);

    /// @notice postcondition true
    function setApprovalForAll(address _operator, bool _approved) external;

    /// @notice postcondition true
    function isApprovedForAll(address _owner, address _operator) external view returns (bool);

    /// @notice postcondition true
    function transferFrom(address _from, address _to, uint256 _tokenId) external;

    /// @notice postcondition true
    function safeTransferFrom(address _from, address _to, uint256 _tokenId) external;

    /// @notice postcondition true
    function safeTransferFrom(address _from, address _to, uint256 _tokenId, bytes calldata _data) external;

}
","{'balanceOf': 'Verified', 'ownerOf': 'Verified', 'approve': 'Failed', 'getApproved': 'Verified', 'setApprovalForAll': 'Failed', 'isApprovedForAll': 'Failed', 'transferFrom': 'Failed', 'safeTransferFrom': 'Failed'}","['thread_48JWy72iwr8oG8v0MOPezl76', 'thread_Xq565PKESSWR8bnWvyr306bu', 'thread_w9UHuuQWovnCJaVO4V1dmfsh', 'thread_CmgnZDiqfas9MNc8C7TEa2Hq', 'thread_EF0iabpcjqoZOWxyBpRLbRXQ', 'thread_PtCoUcHFwnjgn8TBnYA42DSm', 'thread_c7ZDagE3OxO6nFcPWhQ5qo0g', 'thread_pCVR1g8THZ2hpIp9fnN3e4Tj', 'thread_5w3DGSovhRoTxuHcrmdVVb71']"
8,1270.753347158432,54,False,"pragma solidity >=0.5.0;

contract ERC721 {

    // Events

    // State Variables

    // Functions
    /// @notice postcondition balance == _ownedTokensCount[_owner]
    /// @notice postcondition _owner != address(0)
    function balanceOf(address _owner) external view returns (uint256 balance);

    /// @notice postcondition _tokenOwner[_tokenId] == _owner
    /// @notice postcondition _owner != address(0)
    function ownerOf(uint256 _tokenId) external view returns (address _owner);

    /// @notice postcondition true
    function approve(address _approved, uint256 _tokenId) external;

    /// @notice postcondition approved == _tokenApprovals[_tokenId]
    /// @notice postcondition _tokenOwner[_tokenId] != address(0) || approved == address(0)
    function getApproved(uint256 _tokenId) external view returns (address approved);

    /// @notice postcondition true
    function setApprovalForAll(address _operator, bool _approved) external;

    /// @notice postcondition _operatorApprovals[_owner][_operator] == approved
    function isApprovedForAll(address _owner, address _operator) external view returns (bool);

    /// @notice postcondition true
    function transferFrom(address _from, address _to, uint256 _tokenId) external;

    /// @notice postcondition true
    function safeTransferFrom(address _from, address _to, uint256 _tokenId) external;

    /// @notice postcondition true
    function safeTransferFrom(address _from, address _to, uint256 _tokenId, bytes calldata _data) external;

}
","{'balanceOf': 'Verified', 'ownerOf': 'Verified', 'approve': 'Failed', 'getApproved': 'Verified', 'setApprovalForAll': 'Failed', 'isApprovedForAll': 'Verified', 'transferFrom': 'Failed', 'safeTransferFrom': 'Failed'}","['thread_bzoSYPDA2oKwdqrSqUFM1fHK', 'thread_vnWvnzlDuXDrTjHKpIWcxhai', 'thread_RtbunoYEanUPWe5B0BSgGj4d', 'thread_xEsC7Mp2dejOYyTm1YvSy4MY', 'thread_qKurqzn0SetzWos1p3lPVrdI', 'thread_vAr80mKbvqCPO9YnF4ugnRRg', 'thread_OLGe2wLFzDWYOm1PpJ8mbla9', 'thread_rH3uVZbNvtDt2dNLjkXVuHhm', 'thread_8a2PPrYkyl9bRfd3sHoE5PNY']"
9,811.542599439621,54,False,"pragma solidity >=0.5.0;

contract ERC721 {

    // Events

    // State Variables

    // Functions
    /// @notice postcondition balance == _ownedTokensCount[_owner]
    /// @notice postcondition _owner != address(0)
    function balanceOf(address _owner) external view returns (uint256 balance);

    /// @notice postcondition _tokenOwner[_tokenId] == _owner
    /// @notice postcondition _owner != address(0)
    function ownerOf(uint256 _tokenId) external view returns (address _owner);

    /// @notice postcondition true
    function approve(address _approved, uint256 _tokenId) external;

    /// @notice postcondition approved == _tokenApprovals[_tokenId]
    /// @notice postcondition _tokenOwner[_tokenId] != address(0) || approved == address(0)
    function getApproved(uint256 _tokenId) external view returns (address approved);

    /// @notice postcondition true
    function setApprovalForAll(address _operator, bool _approved) external;

    /// @notice postcondition approved == _operatorApprovals[_owner][_operator]
    function isApprovedForAll(address _owner, address _operator) external view returns (bool);

    /// @notice postcondition true
    function transferFrom(address _from, address _to, uint256 _tokenId) external;

    /// @notice postcondition true
    function safeTransferFrom(address _from, address _to, uint256 _tokenId) external;

    /// @notice postcondition true
    function safeTransferFrom(address _from, address _to, uint256 _tokenId, bytes calldata _data) external;

}
","{'balanceOf': 'Verified', 'ownerOf': 'Verified', 'approve': 'Failed', 'getApproved': 'Verified', 'setApprovalForAll': 'Failed', 'isApprovedForAll': 'Verified', 'transferFrom': 'Failed', 'safeTransferFrom': 'Failed'}","['thread_sRiHqI8gvXNxH5ijBKjOyjll', 'thread_KE9D0eDH3QVhzAHlTyNE5EnE', 'thread_9OFlOxbxUk64jeL50d2klkVp', 'thread_5OEYSgZv1yfQeOxDN70p5i3O', 'thread_aRACVDy7C7YWKhq1VduTz206', 'thread_JeoZ2P6oyXnoauJdywxoIDgL', 'thread_5VMKv3kjVptlY4rSMNvpZHVN', 'thread_Uz9i0fkOZur25Jz9plv3AvCP', 'thread_NjiA1LUFgLsB8ZzD8fFNsbld']"
10,868.1737039089203,54,False,"pragma solidity >=0.5.0;

contract ERC721 {

    // Events

    // State Variables

    // Functions
    /// @notice postcondition balance == _ownedTokensCount[_owner]
    /// @notice postcondition _owner != address(0)
    function balanceOf(address _owner) external view returns (uint256 balance);

    /// @notice postcondition _tokenOwner[_tokenId] == _owner
    /// @notice postcondition _owner != address(0)
    function ownerOf(uint256 _tokenId) external view returns (address _owner);

    /// @notice postcondition true
    function approve(address _approved, uint256 _tokenId) external;

    /// @notice postcondition _tokenApprovals[_tokenId] == approved
    /// @notice postcondition approved != address(0) || _tokenApprovals[_tokenId] == address(0)
    function getApproved(uint256 _tokenId) external view returns (address approved);

    /// @notice postcondition true
    function setApprovalForAll(address _operator, bool _approved) external;

    /// @notice postcondition _operatorApprovals[_owner][_operator] == approved
    function isApprovedForAll(address _owner, address _operator) external view returns (bool);

    /// @notice postcondition true
    function transferFrom(address _from, address _to, uint256 _tokenId) external;

    /// @notice postcondition true
    function safeTransferFrom(address _from, address _to, uint256 _tokenId) external;

    /// @notice postcondition true
    function safeTransferFrom(address _from, address _to, uint256 _tokenId, bytes calldata _data) external;

}
","{'balanceOf': 'Verified', 'ownerOf': 'Verified', 'approve': 'Failed', 'getApproved': 'Verified', 'setApprovalForAll': 'Failed', 'isApprovedForAll': 'Verified', 'transferFrom': 'Failed', 'safeTransferFrom': 'Failed'}","['thread_cfuLlWDXtXiuPo8AVBOgojwH', 'thread_HJ12lXAGmGCbVodjpvSwWi9D', 'thread_vhkOdW2W4lRaPL4JX26pTZIH', 'thread_ETcPe5cTLxOUVjKBfokwikU2', 'thread_sPHiFex22IQmKsrEiVf9Sz7y', 'thread_GtIUUmGLz0c4NghGN3VQwNIC', 'thread_wPlE2vPPuntADrE5q2PzAYJe', 'thread_hAuHebm7UB9XimbAXOfeQcTt', 'thread_OySOaMPIgKiD5ZKK8HFOVYhr']"
