run,status,output
1,251,"ERC1155_merge.sol:1:1: Warning: Source file does not specify required compiler version!
Refinement::inv: OK
Refinement::cons_pre: OK
Refinement::cons_post: OK
Refinement::balanceOf_pre: OK
Refinement::balanceOf_post: OK
Refinement::balanceOfBatch_pre: OK
Refinement::balanceOfBatch_post: OK
Refinement::setApprovalForAll_pre: OK
Refinement::setApprovalForAll_post: OK
Refinement::isApprovedForAll_pre: OK
Refinement::isApprovedForAll_post: OK
Refinement::safeTransferFrom_pre: OK
Refinement::safeTransferFrom_post: OK
Refinement::safeBatchTransferFrom_pre: OK
Refinement::safeBatchTransferFrom_post: ERROR
 - ERC1155_merge.sol:119:5: Postcondition '_to != address(0)' might not hold at end of function.
 - ERC1155_merge.sol:119:5: Postcondition 'forall (uint i) !(0 <= i && i < _ids.length) || (con_old._balances[_ids[i]][_from] >= _values[i])' might not hold at end of function.
 - ERC1155_merge.sol:119:5: Postcondition 'forall (uint i) _from != _to || con._balances[_ids[i]][_to] == con_old._balances[_ids[i]][_to]' might not hold at end of function.
 - ERC1155_merge.sol:119:5: Postcondition 'con._operatorApprovals[_from][msg.sender] || _from == msg.sender' might not hold at end of function.
Refinement::[implicit_constructor]: OK
Errors were found by the verifier.
"
2,251,"ERC1155_merge.sol:1:1: Warning: Source file does not specify required compiler version!
Refinement::inv: OK
Refinement::cons_pre: OK
Refinement::cons_post: OK
Refinement::balanceOf_pre: OK
Refinement::balanceOf_post: OK
Refinement::balanceOfBatch_pre: OK
Refinement::balanceOfBatch_post: OK
Refinement::setApprovalForAll_pre: OK
Refinement::setApprovalForAll_post: OK
Refinement::isApprovedForAll_pre: OK
Refinement::isApprovedForAll_post: OK
Refinement::safeTransferFrom_pre: OK
Refinement::safeTransferFrom_post: OK
Refinement::safeBatchTransferFrom_pre: OK
Refinement::safeBatchTransferFrom_post: ERROR
 - ERC1155_merge.sol:119:5: Postcondition '_to != address(0)' might not hold at end of function.
 - ERC1155_merge.sol:119:5: Postcondition 'forall (uint i) !(0 <= i && i < _ids.length) || (con_old._balances[_ids[i]][_from] >= _values[i])' might not hold at end of function.
 - ERC1155_merge.sol:119:5: Postcondition 'forall (uint i) _from != _to || con._balances[_ids[i]][_to] == con_old._balances[_ids[i]][_to]' might not hold at end of function.
 - ERC1155_merge.sol:119:5: Postcondition 'con._operatorApprovals[_from][msg.sender] || _from == msg.sender' might not hold at end of function.
Refinement::[implicit_constructor]: OK
Errors were found by the verifier.
"
3,251,"ERC1155_merge.sol:1:1: Warning: Source file does not specify required compiler version!
Refinement::inv: OK
Refinement::cons_pre: OK
Refinement::cons_post: OK
Refinement::balanceOf_pre: OK
Refinement::balanceOf_post: OK
Refinement::balanceOfBatch_pre: OK
Refinement::balanceOfBatch_post: OK
Refinement::setApprovalForAll_pre: OK
Refinement::setApprovalForAll_post: OK
Refinement::isApprovedForAll_pre: OK
Refinement::isApprovedForAll_post: OK
Refinement::safeTransferFrom_pre: OK
Refinement::safeTransferFrom_post: OK
Refinement::safeBatchTransferFrom_pre: OK
Refinement::safeBatchTransferFrom_post: ERROR
 - ERC1155_merge.sol:119:5: Postcondition '_to != address(0)' might not hold at end of function.
 - ERC1155_merge.sol:119:5: Postcondition '_ids.length == _values.length' might not hold at end of function.
 - ERC1155_merge.sol:119:5: Postcondition 'forall (uint i) !(0 <= i && i < _ids.length) || (con_old._balances[_ids[i]][_from] >= _values[i])' might not hold at end of function.
 - ERC1155_merge.sol:119:5: Postcondition 'forall (uint i) _from != _to || con._balances[_ids[i]][_to] == con_old._balances[_ids[i]][_to]' might not hold at end of function.
Refinement::[implicit_constructor]: OK
Errors were found by the verifier.
"
4,251,"ERC1155_merge.sol:1:1: Warning: Source file does not specify required compiler version!
Refinement::inv: OK
Refinement::cons_pre: OK
Refinement::cons_post: OK
Refinement::balanceOf_pre: OK
Refinement::balanceOf_post: OK
Refinement::balanceOfBatch_pre: OK
Refinement::balanceOfBatch_post: OK
Refinement::setApprovalForAll_pre: OK
Refinement::setApprovalForAll_post: OK
Refinement::isApprovedForAll_pre: OK
Refinement::isApprovedForAll_post: OK
Refinement::safeTransferFrom_pre: OK
Refinement::safeTransferFrom_post: OK
Refinement::safeBatchTransferFrom_pre: OK
Refinement::safeBatchTransferFrom_post: ERROR
 - ERC1155_merge.sol:119:5: Postcondition '_to != address(0)' might not hold at end of function.
 - ERC1155_merge.sol:119:5: Postcondition 'forall (uint i) !(0 <= i && i < _ids.length) || (con_old._balances[_ids[i]][_from] >= _values[i])' might not hold at end of function.
 - ERC1155_merge.sol:119:5: Postcondition 'forall (uint i) _from != _to || con._balances[_ids[i]][_to] == con_old._balances[_ids[i]][_to]' might not hold at end of function.
 - ERC1155_merge.sol:119:5: Postcondition 'con._operatorApprovals[_from][msg.sender] || _from == msg.sender' might not hold at end of function.
Refinement::[implicit_constructor]: OK
Errors were found by the verifier.
"
5,251,"ERC1155_merge.sol:1:1: Warning: Source file does not specify required compiler version!
Refinement::inv: OK
Refinement::cons_pre: OK
Refinement::cons_post: OK
Refinement::balanceOf_pre: OK
Refinement::balanceOf_post: OK
Refinement::balanceOfBatch_pre: OK
Refinement::balanceOfBatch_post: OK
Refinement::setApprovalForAll_pre: OK
Refinement::setApprovalForAll_post: OK
Refinement::isApprovedForAll_pre: OK
Refinement::isApprovedForAll_post: OK
Refinement::safeTransferFrom_pre: OK
Refinement::safeTransferFrom_post: OK
Refinement::safeBatchTransferFrom_pre: OK
Refinement::safeBatchTransferFrom_post: ERROR
 - ERC1155_merge.sol:119:5: Postcondition '_to != address(0)' might not hold at end of function.
 - ERC1155_merge.sol:119:5: Postcondition 'forall (uint i) !(0 <= i && i < _ids.length) || (con_old._balances[_ids[i]][_from] >= _values[i])' might not hold at end of function.
 - ERC1155_merge.sol:119:5: Postcondition 'forall (uint i) _from != _to || con._balances[_ids[i]][_to] == con_old._balances[_ids[i]][_to]' might not hold at end of function.
 - ERC1155_merge.sol:119:5: Postcondition 'con._operatorApprovals[_from][msg.sender] || _from == msg.sender' might not hold at end of function.
Refinement::[implicit_constructor]: OK
Errors were found by the verifier.
"
6,251,"ERC1155_merge.sol:1:1: Warning: Source file does not specify required compiler version!
Refinement::inv: OK
Refinement::cons_pre: OK
Refinement::cons_post: OK
Refinement::balanceOf_pre: OK
Refinement::balanceOf_post: OK
Refinement::balanceOfBatch_pre: OK
Refinement::balanceOfBatch_post: OK
Refinement::setApprovalForAll_pre: OK
Refinement::setApprovalForAll_post: OK
Refinement::isApprovedForAll_pre: OK
Refinement::isApprovedForAll_post: OK
Refinement::safeTransferFrom_pre: OK
Refinement::safeTransferFrom_post: OK
Refinement::safeBatchTransferFrom_pre: OK
Refinement::safeBatchTransferFrom_post: ERROR
 - ERC1155_merge.sol:119:5: Postcondition '_to != address(0)' might not hold at end of function.
 - ERC1155_merge.sol:119:5: Postcondition 'forall (uint i) !(0 <= i && i < _ids.length) || (con_old._balances[_ids[i]][_from] >= _values[i])' might not hold at end of function.
 - ERC1155_merge.sol:119:5: Postcondition 'forall (uint i) _from != _to || con._balances[_ids[i]][_to] == con_old._balances[_ids[i]][_to]' might not hold at end of function.
 - ERC1155_merge.sol:119:5: Postcondition 'con._operatorApprovals[_from][msg.sender] || _from == msg.sender' might not hold at end of function.
Refinement::[implicit_constructor]: OK
Errors were found by the verifier.
"
7,251,"ERC1155_merge.sol:1:1: Warning: Source file does not specify required compiler version!
Refinement::inv: OK
Refinement::cons_pre: OK
Refinement::cons_post: OK
Refinement::balanceOf_pre: OK
Refinement::balanceOf_post: OK
Refinement::balanceOfBatch_pre: OK
Refinement::balanceOfBatch_post: OK
Refinement::setApprovalForAll_pre: OK
Refinement::setApprovalForAll_post: OK
Refinement::isApprovedForAll_pre: OK
Refinement::isApprovedForAll_post: OK
Refinement::safeTransferFrom_pre: OK
Refinement::safeTransferFrom_post: OK
Refinement::safeBatchTransferFrom_pre: OK
Refinement::safeBatchTransferFrom_post: ERROR
 - ERC1155_merge.sol:119:5: Postcondition '_to != address(0)' might not hold at end of function.
 - ERC1155_merge.sol:119:5: Postcondition '_ids.length == _values.length' might not hold at end of function.
 - ERC1155_merge.sol:119:5: Postcondition 'forall (uint i) !(0 <= i && i < _ids.length) || (con_old._balances[_ids[i]][_from] >= _values[i])' might not hold at end of function.
 - ERC1155_merge.sol:119:5: Postcondition 'forall (uint i) _from != _to || con._balances[_ids[i]][_to] == con_old._balances[_ids[i]][_to]' might not hold at end of function.
Refinement::[implicit_constructor]: OK
Errors were found by the verifier.
"
8,251,"ERC1155_merge.sol:1:1: Warning: Source file does not specify required compiler version!
Refinement::inv: OK
Refinement::cons_pre: OK
Refinement::cons_post: OK
Refinement::balanceOf_pre: OK
Refinement::balanceOf_post: OK
Refinement::balanceOfBatch_pre: OK
Refinement::balanceOfBatch_post: OK
Refinement::setApprovalForAll_pre: OK
Refinement::setApprovalForAll_post: OK
Refinement::isApprovedForAll_pre: OK
Refinement::isApprovedForAll_post: OK
Refinement::safeTransferFrom_pre: OK
Refinement::safeTransferFrom_post: OK
Refinement::safeBatchTransferFrom_pre: OK
Refinement::safeBatchTransferFrom_post: ERROR
 - ERC1155_merge.sol:119:5: Postcondition '_to != address(0)' might not hold at end of function.
 - ERC1155_merge.sol:119:5: Postcondition '_ids.length == _values.length' might not hold at end of function.
 - ERC1155_merge.sol:119:5: Postcondition 'forall (uint i) !(0 <= i && i < _ids.length) || (con_old._balances[_ids[i]][_from] >= _values[i])' might not hold at end of function.
 - ERC1155_merge.sol:119:5: Postcondition 'forall (uint i) _from != _to || con._balances[_ids[i]][_to] == con_old._balances[_ids[i]][_to]' might not hold at end of function.
Refinement::[implicit_constructor]: OK
Errors were found by the verifier.
"
9,251,"ERC1155_merge.sol:1:1: Warning: Source file does not specify required compiler version!
Refinement::inv: OK
Refinement::cons_pre: OK
Refinement::cons_post: OK
Refinement::balanceOf_pre: OK
Refinement::balanceOf_post: OK
Refinement::balanceOfBatch_pre: OK
Refinement::balanceOfBatch_post: OK
Refinement::setApprovalForAll_pre: OK
Refinement::setApprovalForAll_post: OK
Refinement::isApprovedForAll_pre: OK
Refinement::isApprovedForAll_post: OK
Refinement::safeTransferFrom_pre: OK
Refinement::safeTransferFrom_post: OK
Refinement::safeBatchTransferFrom_pre: OK
Refinement::safeBatchTransferFrom_post: ERROR
 - ERC1155_merge.sol:116:5: Postcondition '_to != address(0)' might not hold at end of function.
 - ERC1155_merge.sol:116:5: Postcondition 'forall (uint i) !(0 <= i && i < _ids.length) || (con_old._balances[_ids[i]][_from] >= _values[i])' might not hold at end of function.
 - ERC1155_merge.sol:116:5: Postcondition 'forall (uint i) _from != _to || con._balances[_ids[i]][_to] == con_old._balances[_ids[i]][_to]' might not hold at end of function.
Refinement::[implicit_constructor]: OK
Errors were found by the verifier.
"
10,251,"ERC1155_merge.sol:1:1: Warning: Source file does not specify required compiler version!
Refinement::inv: OK
Refinement::cons_pre: OK
Refinement::cons_post: OK
Refinement::balanceOf_pre: OK
Refinement::balanceOf_post: OK
Refinement::balanceOfBatch_pre: OK
Refinement::balanceOfBatch_post: OK
Refinement::setApprovalForAll_pre: OK
Refinement::setApprovalForAll_post: OK
Refinement::isApprovedForAll_pre: OK
Refinement::isApprovedForAll_post: OK
Refinement::safeTransferFrom_pre: OK
Refinement::safeTransferFrom_post: OK
Refinement::safeBatchTransferFrom_pre: OK
Refinement::safeBatchTransferFrom_post: ERROR
 - ERC1155_merge.sol:119:5: Postcondition '_to != address(0)' might not hold at end of function.
 - ERC1155_merge.sol:119:5: Postcondition 'forall (uint i) !(0 <= i && i < _ids.length) || (con_old._balances[_ids[i]][_from] >= _values[i])' might not hold at end of function.
 - ERC1155_merge.sol:119:5: Postcondition 'forall (uint i) _from != _to || con._balances[_ids[i]][_to] == con_old._balances[_ids[i]][_to]' might not hold at end of function.
 - ERC1155_merge.sol:119:5: Postcondition 'con._operatorApprovals[_from][msg.sender] || _from == msg.sender' might not hold at end of function.
Refinement::[implicit_constructor]: OK
Errors were found by the verifier.
"
