run,status,output
1,0,"ERC1155_merge.sol:1:1: Warning: Source file does not specify required compiler version!
Refinement::inv: OK
Refinement::cons_pre: OK
Refinement::cons_post: OK
Refinement::balanceOf_pre: OK
Refinement::balanceOf_post: OK
Refinement::balanceOfBatch_pre: OK
Refinement::balanceOfBatch_post: OK
Refinement::setApprovalForAll_pre: OK
Refinement::setApprovalForAll_post: OK
Refinement::isApprovedForAll_pre: OK
Refinement::isApprovedForAll_post: OK
Refinement::safeTransferFrom_pre: OK
Refinement::safeTransferFrom_post: OK
Refinement::safeBatchTransferFrom_pre: OK
Refinement::safeBatchTransferFrom_post: OK
Refinement::[implicit_constructor]: OK
No errors found.
"
2,251,"ERC1155_merge.sol:1:1: Warning: Source file does not specify required compiler version!
Refinement::inv: OK
Refinement::cons_pre: OK
Refinement::cons_post: OK
Refinement::balanceOf_pre: OK
Refinement::balanceOf_post: OK
Refinement::balanceOfBatch_pre: OK
Refinement::balanceOfBatch_post: OK
Refinement::setApprovalForAll_pre: OK
Refinement::setApprovalForAll_post: OK
Refinement::isApprovedForAll_pre: OK
Refinement::isApprovedForAll_post: OK
Refinement::safeTransferFrom_pre: OK
Refinement::safeTransferFrom_post: ERROR
 - ERC1155_merge.sol:92:5: Postcondition 'abs._operatorApprovals[_from][msg.sender] || _from == msg.sender' might not hold at end of function.
 - ERC1155_merge.sol:92:5: Postcondition 'abs._balances[_id][_to] == abs_old._balances[_id][_to] + _value' might not hold at end of function.
 - ERC1155_merge.sol:92:5: Postcondition 'abs._balances[_id][_from] == abs_old._balances[_id][_from] - _value' might not hold at end of function.
 - ERC1155_merge.sol:92:5: Postcondition 'forall (address _from) abs._operatorApprovals[_from][msg.sender] == con._operatorApprovals[_from][msg.sender]' might not hold at end of function.
 - ERC1155_merge.sol:92:5: Postcondition 'abs_old._balances[_id][_from] >= _value' might not hold at end of function.
Refinement::safeBatchTransferFrom_pre: OK
Refinement::safeBatchTransferFrom_post: OK
Refinement::[implicit_constructor]: OK
Errors were found by the verifier.
"
3,251,"ERC1155_merge.sol:1:1: Warning: Source file does not specify required compiler version!
Refinement::inv: OK
Refinement::cons_pre: OK
Refinement::cons_post: OK
Refinement::balanceOf_pre: OK
Refinement::balanceOf_post: OK
Refinement::balanceOfBatch_pre: OK
Refinement::balanceOfBatch_post: OK
Refinement::setApprovalForAll_pre: OK
Refinement::setApprovalForAll_post: OK
Refinement::isApprovedForAll_pre: OK
Refinement::isApprovedForAll_post: OK
Refinement::safeTransferFrom_pre: OK
Refinement::safeTransferFrom_post: ERROR
 - ERC1155_merge.sol:93:5: Postcondition 'forall (address _from) abs._operatorApprovals[_from][msg.sender] == con._operatorApprovals[_from][msg.sender]' might not hold at end of function.
 - ERC1155_merge.sol:93:5: Postcondition 'abs._operatorApprovals[_from][msg.sender] || _from == msg.sender' might not hold at end of function.
 - ERC1155_merge.sol:93:5: Postcondition 'abs_old._balances[_id][_from] >= _value' might not hold at end of function.
 - ERC1155_merge.sol:93:5: Postcondition 'abs._balances[_id][_from] == abs_old._balances[_id][_from] - _value' might not hold at end of function.
 - ERC1155_merge.sol:93:5: Postcondition 'abs._balances[_id][_to] == abs_old._balances[_id][_to] + _value' might not hold at end of function.
Refinement::safeBatchTransferFrom_pre: OK
Refinement::safeBatchTransferFrom_post: OK
Refinement::[implicit_constructor]: OK
Errors were found by the verifier.
"
4,0,"ERC1155_merge.sol:1:1: Warning: Source file does not specify required compiler version!
Refinement::inv: OK
Refinement::cons_pre: OK
Refinement::cons_post: OK
Refinement::balanceOf_pre: OK
Refinement::balanceOf_post: OK
Refinement::balanceOfBatch_pre: OK
Refinement::balanceOfBatch_post: OK
Refinement::setApprovalForAll_pre: OK
Refinement::setApprovalForAll_post: OK
Refinement::isApprovedForAll_pre: OK
Refinement::isApprovedForAll_post: OK
Refinement::safeTransferFrom_pre: OK
Refinement::safeTransferFrom_post: OK
Refinement::safeBatchTransferFrom_pre: OK
Refinement::safeBatchTransferFrom_post: OK
Refinement::[implicit_constructor]: OK
No errors found.
"
5,0,"ERC1155_merge.sol:1:1: Warning: Source file does not specify required compiler version!
Refinement::inv: OK
Refinement::cons_pre: OK
Refinement::cons_post: OK
Refinement::balanceOf_pre: OK
Refinement::balanceOf_post: OK
Refinement::balanceOfBatch_pre: OK
Refinement::balanceOfBatch_post: OK
Refinement::setApprovalForAll_pre: OK
Refinement::setApprovalForAll_post: OK
Refinement::isApprovedForAll_pre: OK
Refinement::isApprovedForAll_post: OK
Refinement::safeTransferFrom_pre: OK
Refinement::safeTransferFrom_post: OK
Refinement::safeBatchTransferFrom_pre: OK
Refinement::safeBatchTransferFrom_post: OK
Refinement::[implicit_constructor]: OK
No errors found.
"
6,0,"ERC1155_merge.sol:1:1: Warning: Source file does not specify required compiler version!
Refinement::inv: OK
Refinement::cons_pre: OK
Refinement::cons_post: OK
Refinement::balanceOf_pre: OK
Refinement::balanceOf_post: OK
Refinement::balanceOfBatch_pre: OK
Refinement::balanceOfBatch_post: OK
Refinement::setApprovalForAll_pre: OK
Refinement::setApprovalForAll_post: OK
Refinement::isApprovedForAll_pre: OK
Refinement::isApprovedForAll_post: OK
Refinement::safeTransferFrom_pre: OK
Refinement::safeTransferFrom_post: OK
Refinement::safeBatchTransferFrom_pre: OK
Refinement::safeBatchTransferFrom_post: OK
Refinement::[implicit_constructor]: OK
No errors found.
"
7,0,"ERC1155_merge.sol:1:1: Warning: Source file does not specify required compiler version!
Refinement::inv: OK
Refinement::cons_pre: OK
Refinement::cons_post: OK
Refinement::balanceOf_pre: OK
Refinement::balanceOf_post: OK
Refinement::balanceOfBatch_pre: OK
Refinement::balanceOfBatch_post: OK
Refinement::setApprovalForAll_pre: OK
Refinement::setApprovalForAll_post: OK
Refinement::isApprovedForAll_pre: OK
Refinement::isApprovedForAll_post: OK
Refinement::safeTransferFrom_pre: OK
Refinement::safeTransferFrom_post: OK
Refinement::safeBatchTransferFrom_pre: OK
Refinement::safeBatchTransferFrom_post: OK
Refinement::[implicit_constructor]: OK
No errors found.
"
8,0,"ERC1155_merge.sol:1:1: Warning: Source file does not specify required compiler version!
Refinement::inv: OK
Refinement::cons_pre: OK
Refinement::cons_post: OK
Refinement::balanceOf_pre: OK
Refinement::balanceOf_post: OK
Refinement::balanceOfBatch_pre: OK
Refinement::balanceOfBatch_post: OK
Refinement::setApprovalForAll_pre: OK
Refinement::setApprovalForAll_post: OK
Refinement::isApprovedForAll_pre: OK
Refinement::isApprovedForAll_post: OK
Refinement::safeTransferFrom_pre: OK
Refinement::safeTransferFrom_post: OK
Refinement::safeBatchTransferFrom_pre: OK
Refinement::safeBatchTransferFrom_post: OK
Refinement::[implicit_constructor]: OK
No errors found.
"
9,251,"ERC1155_merge.sol:1:1: Warning: Source file does not specify required compiler version!
Refinement::inv: OK
Refinement::cons_pre: OK
Refinement::cons_post: OK
Refinement::balanceOf_pre: OK
Refinement::balanceOf_post: OK
Refinement::balanceOfBatch_pre: OK
Refinement::balanceOfBatch_post: OK
Refinement::setApprovalForAll_pre: OK
Refinement::setApprovalForAll_post: OK
Refinement::isApprovedForAll_pre: OK
Refinement::isApprovedForAll_post: OK
Refinement::safeTransferFrom_pre: OK
Refinement::safeTransferFrom_post: ERROR
 - ERC1155_merge.sol:93:5: Postcondition 'abs._operatorApprovals[_from][msg.sender] || _from == msg.sender' might not hold at end of function.
 - ERC1155_merge.sol:93:5: Postcondition 'abs_old._balances[_id][_from] >= _value' might not hold at end of function.
 - ERC1155_merge.sol:93:5: Postcondition 'abs._balances[_id][_from] == abs_old._balances[_id][_from] - _value' might not hold at end of function.
 - ERC1155_merge.sol:93:5: Postcondition 'forall (address _from) abs._operatorApprovals[_from][msg.sender] == con._operatorApprovals[_from][msg.sender]' might not hold at end of function.
 - ERC1155_merge.sol:93:5: Postcondition 'abs._balances[_id][_to] == abs_old._balances[_id][_to] + _value' might not hold at end of function.
Refinement::safeBatchTransferFrom_pre: OK
Refinement::safeBatchTransferFrom_post: OK
Refinement::[implicit_constructor]: OK
Errors were found by the verifier.
"
10,0,"ERC1155_merge.sol:1:1: Warning: Source file does not specify required compiler version!
Refinement::inv: OK
Refinement::cons_pre: OK
Refinement::cons_post: OK
Refinement::balanceOf_pre: OK
Refinement::balanceOf_post: OK
Refinement::balanceOfBatch_pre: OK
Refinement::balanceOfBatch_post: OK
Refinement::setApprovalForAll_pre: OK
Refinement::setApprovalForAll_post: OK
Refinement::isApprovedForAll_pre: OK
Refinement::isApprovedForAll_post: OK
Refinement::safeTransferFrom_pre: OK
Refinement::safeTransferFrom_post: OK
Refinement::safeBatchTransferFrom_pre: OK
Refinement::safeBatchTransferFrom_post: OK
Refinement::[implicit_constructor]: OK
No errors found.
"
