run,time_taken,iterations,verified,annotated_contract,status
1,358.8377501964569,10,False,,[]
2,288.1842610836029,10,False,,[]
3,306.25901913642883,10,False,,[]
4,317.19123697280884,10,False,,[]
5,329.1178152561188,10,False,,"[""Interaction: 2\ncontracts/erc7683/ERC7683.sol:3:1: Warning: Experimental features are turned on. Do not use experimental features on live deployments.\nERC7683_merge.sol:3:1: Warning: Experimental features are turned on. Do not use experimental features on live deployments.\nERC7683_merge.sol:28:9: Warning: Unused function parameter. Remove or comment out the variable name to silence this warning.\nERC7683_merge.sol:29:9: Warning: Unused function parameter. Remove or comment out the variable name to silence this warning.\nERC7683_merge.sol:81:9: Warning: Unused function parameter. Remove or comment out the variable name to silence this warning.\nERC7683_merge.sol:146:9: Warning: Unused function parameter. Remove or comment out the variable name to silence this warning.\nERC7683_merge.sol:147:9: Warning: Unused function parameter. Remove or comment out the variable name to silence this warning.\nERC7683_merge.sol:128:34: solc-verify warning: Array elements could not be set to default value for this type\nERC7683_merge.sol:129:37: solc-verify warning: Array elements could not be set to default value for this type\nERC7683_merge.sol:130:42: solc-verify warning: Array elements could not be set to default value for this type\nERC7683OriginSettler::openFor: OK\nERC7683OriginSettler::open: ERROR\n - ERC7683_merge.sol:56:5: Postcondition '!(openedOrders[bytes32(uint256(order.fillDeadline))]) || __verifier_old_bool(openedOrders[bytes32(uint256(order.fillDeadline))]) ' might not hold at end of function.\nERC7683OriginSettler::resolveFor: ERROR\n - ERC7683_merge.sol:79:5: Postcondition 'resolvedOrder.orderId == bytes32(uint256(order.fillDeadline))' might not hold at end of function.\nERC7683OriginSettler::resolve: OK\nERC7683OriginSettler::[implicit_constructor]: OK\nERC7683DestinationSettler::fill: ERROR\n - ERC7683_merge.sol:144:5: Postcondition '!(filledOrders[orderId]) || __verifier_old_bool(filledOrders[orderId]) ' might not hold at end of function.\nERC7683DestinationSettler::[implicit_constructor]: OK\nIOriginSettler::[implicit_constructor]: OK\nIDestinationSettler::[implicit_constructor]: OK\nErrors were found by the verifier.\n\n"", ""Interaction: 3\ncontracts/erc7683/ERC7683.sol:3:1: Warning: Experimental features are turned on. Do not use experimental features on live deployments.\nERC7683_merge.sol:3:1: Warning: Experimental features are turned on. Do not use experimental features on live deployments.\nERC7683_merge.sol:27:9: Warning: Unused function parameter. Remove or comment out the variable name to silence this warning.\nERC7683_merge.sol:28:9: Warning: Unused function parameter. Remove or comment out the variable name to silence this warning.\nERC7683_merge.sol:80:9: Warning: Unused function parameter. Remove or comment out the variable name to silence this warning.\nERC7683_merge.sol:145:9: Warning: Unused function parameter. Remove or comment out the variable name to silence this warning.\nERC7683_merge.sol:146:9: Warning: Unused function parameter. Remove or comment out the variable name to silence this warning.\nERC7683_merge.sol:127:34: solc-verify warning: Array elements could not be set to default value for this type\nERC7683_merge.sol:128:37: solc-verify warning: Array elements could not be set to default value for this type\nERC7683_merge.sol:129:42: solc-verify warning: Array elements could not be set to default value for this type\nERC7683OriginSettler::openFor: OK\nERC7683OriginSettler::open: ERROR\n - ERC7683_merge.sol:55:5: Postcondition '!(openedOrders[bytes32(uint256(order.fillDeadline))]) || __verifier_old_bool(openedOrders[bytes32(uint256(order.fillDeadline))])   ' might not hold at end of function.\nERC7683OriginSettler::resolveFor: ERROR\n - ERC7683_merge.sol:78:5: Postcondition 'resolvedOrder.orderId == bytes32(uint256(order.fillDeadline))' might not hold at end of function.\nERC7683OriginSettler::resolve: OK\nERC7683OriginSettler::[implicit_constructor]: OK\nERC7683DestinationSettler::fill: OK\nERC7683DestinationSettler::[implicit_constructor]: OK\nIOriginSettler::[implicit_constructor]: OK\nIDestinationSettler::[implicit_constructor]: OK\nErrors were found by the verifier.\n\n"", ""Interaction: 4\ncontracts/erc7683/ERC7683.sol:3:1: Warning: Experimental features are turned on. Do not use experimental features on live deployments.\nERC7683_merge.sol:3:1: Warning: Experimental features are turned on. Do not use experimental features on live deployments.\nERC7683_merge.sol:27:9: Warning: Unused function parameter. Remove or comment out the variable name to silence this warning.\nERC7683_merge.sol:28:9: Warning: Unused function parameter. Remove or comment out the variable name to silence this warning.\nERC7683_merge.sol:80:9: Warning: Unused function parameter. Remove or comment out the variable name to silence this warning.\nERC7683_merge.sol:145:9: Warning: Unused function parameter. Remove or comment out the variable name to silence this warning.\nERC7683_merge.sol:146:9: Warning: Unused function parameter. Remove or comment out the variable name to silence this warning.\nERC7683_merge.sol:127:34: solc-verify warning: Array elements could not be set to default value for this type\nERC7683_merge.sol:128:37: solc-verify warning: Array elements could not be set to default value for this type\nERC7683_merge.sol:129:42: solc-verify warning: Array elements could not be set to default value for this type\nERC7683OriginSettler::openFor: OK\nERC7683OriginSettler::open: ERROR\n - ERC7683_merge.sol:55:5: Postcondition '!(openedOrders[bytes32(uint256(order.fillDeadline))]) || __verifier_old_bool(openedOrders[bytes32(uint256(order.fillDeadline))])  ' might not hold at end of function.\nERC7683OriginSettler::resolveFor: ERROR\n - ERC7683_merge.sol:78:5: Postcondition 'resolvedOrder.orderId == bytes32(uint256(order.fillDeadline)) || (uint256(order.fillDeadline) == 0 && !(resolvedOrder.orderId == 0))' might not hold at end of function.\nERC7683OriginSettler::resolve: OK\nERC7683OriginSettler::[implicit_constructor]: OK\nERC7683DestinationSettler::fill: OK\nERC7683DestinationSettler::[implicit_constructor]: OK\nIOriginSettler::[implicit_constructor]: OK\nIDestinationSettler::[implicit_constructor]: OK\nErrors were found by the verifier.\n\n"", ""Interaction: 5\ncontracts/erc7683/ERC7683.sol:3:1: Warning: Experimental features are turned on. Do not use experimental features on live deployments.\nERC7683_merge.sol:3:1: Warning: Experimental features are turned on. Do not use experimental features on live deployments.\nERC7683_merge.sol:27:9: Warning: Unused function parameter. Remove or comment out the variable name to silence this warning.\nERC7683_merge.sol:28:9: Warning: Unused function parameter. Remove or comment out the variable name to silence this warning.\nERC7683_merge.sol:80:9: Warning: Unused function parameter. Remove or comment out the variable name to silence this warning.\nERC7683_merge.sol:145:9: Warning: Unused function parameter. Remove or comment out the variable name to silence this warning.\nERC7683_merge.sol:146:9: Warning: Unused function parameter. Remove or comment out the variable name to silence this warning.\nERC7683_merge.sol:127:34: solc-verify warning: Array elements could not be set to default value for this type\nERC7683_merge.sol:128:37: solc-verify warning: Array elements could not be set to default value for this type\nERC7683_merge.sol:129:42: solc-verify warning: Array elements could not be set to default value for this type\nERC7683OriginSettler::openFor: OK\nERC7683OriginSettler::open: ERROR\n - ERC7683_merge.sol:55:5: Postcondition '!(openedOrders[bytes32(uint256(order.fillDeadline))]) || __verifier_old_bool(openedOrders[bytes32(uint256(order.fillDeadline))]) ' might not hold at end of function.\nERC7683OriginSettler::resolveFor: ERROR\n - ERC7683_merge.sol:78:5: Postcondition '!(resolvedOrder.orderId == bytes32(uint256(order.fillDeadline))) || (uint256(order.fillDeadline) == 0 && !(resolvedOrder.orderId == 0))' might not hold at end of function.\nERC7683OriginSettler::resolve: ERROR\n - ERC7683_merge.sol:100:5: Postcondition '!(resolvedOrder.orderId == bytes32(uint256(order.fillDeadline))) || (uint256(order.fillDeadline) == 0 && !(resolvedOrder.orderId == 0))' might not hold at end of function.\nERC7683OriginSettler::[implicit_constructor]: OK\nERC7683DestinationSettler::fill: OK\nERC7683DestinationSettler::[implicit_constructor]: OK\nIOriginSettler::[implicit_constructor]: OK\nIDestinationSettler::[implicit_constructor]: OK\nErrors were found by the verifier.\n\n"", ""Interaction: 6\ncontracts/erc7683/ERC7683.sol:3:1: Warning: Experimental features are turned on. Do not use experimental features on live deployments.\nERC7683_merge.sol:3:1: Warning: Experimental features are turned on. Do not use experimental features on live deployments.\nERC7683_merge.sol:27:9: Warning: Unused function parameter. Remove or comment out the variable name to silence this warning.\nERC7683_merge.sol:28:9: Warning: Unused function parameter. Remove or comment out the variable name to silence this warning.\nERC7683_merge.sol:80:9: Warning: Unused function parameter. Remove or comment out the variable name to silence this warning.\nERC7683_merge.sol:145:9: Warning: Unused function parameter. Remove or comment out the variable name to silence this warning.\nERC7683_merge.sol:146:9: Warning: Unused function parameter. Remove or comment out the variable name to silence this warning.\nERC7683_merge.sol:127:34: solc-verify warning: Array elements could not be set to default value for this type\nERC7683_merge.sol:128:37: solc-verify warning: Array elements could not be set to default value for this type\nERC7683_merge.sol:129:42: solc-verify warning: Array elements could not be set to default value for this type\nERC7683OriginSettler::openFor: OK\nERC7683OriginSettler::open: ERROR\n - ERC7683_merge.sol:55:5: Postcondition '!(openedOrders[bytes32(uint256(order.fillDeadline))]) || __verifier_old_bool(openedOrders[bytes32(uint256(order.fillDeadline))])  ' might not hold at end of function.\nERC7683OriginSettler::resolveFor: ERROR\n - ERC7683_merge.sol:78:5: Postcondition '!(resolvedOrder.orderId == bytes32(uint256(order.fillDeadline)) && resolvedOrder.orderId != 0)  ' might not hold at end of function.\nERC7683OriginSettler::resolve: ERROR\n - ERC7683_merge.sol:100:5: Postcondition '!(resolvedOrder.orderId == bytes32(uint256(order.fillDeadline)) && resolvedOrder.orderId != 0)  ' might not hold at end of function.\nERC7683OriginSettler::[implicit_constructor]: OK\nERC7683DestinationSettler::fill: OK\nERC7683DestinationSettler::[implicit_constructor]: OK\nIOriginSettler::[implicit_constructor]: OK\nIDestinationSettler::[implicit_constructor]: OK\nErrors were found by the verifier.\n\n"", ""Interaction: 7\ncontracts/erc7683/ERC7683.sol:3:1: Warning: Experimental features are turned on. Do not use experimental features on live deployments.\nERC7683_merge.sol:3:1: Warning: Experimental features are turned on. Do not use experimental features on live deployments.\nERC7683_merge.sol:27:9: Warning: Unused function parameter. Remove or comment out the variable name to silence this warning.\nERC7683_merge.sol:28:9: Warning: Unused function parameter. Remove or comment out the variable name to silence this warning.\nERC7683_merge.sol:80:9: Warning: Unused function parameter. Remove or comment out the variable name to silence this warning.\nERC7683_merge.sol:145:9: Warning: Unused function parameter. Remove or comment out the variable name to silence this warning.\nERC7683_merge.sol:146:9: Warning: Unused function parameter. Remove or comment out the variable name to silence this warning.\nERC7683_merge.sol:127:34: solc-verify warning: Array elements could not be set to default value for this type\nERC7683_merge.sol:128:37: solc-verify warning: Array elements could not be set to default value for this type\nERC7683_merge.sol:129:42: solc-verify warning: Array elements could not be set to default value for this type\nERC7683OriginSettler::openFor: OK\nERC7683OriginSettler::open: ERROR\n - ERC7683_merge.sol:55:5: Postcondition '!(openedOrders[bytes32(uint256(order.fillDeadline))]) || __verifier_old_bool(openedOrders[bytes32(uint256(order.fillDeadline))])  ' might not hold at end of function.\nERC7683OriginSettler::resolveFor: ERROR\n - ERC7683_merge.sol:78:5: Postcondition '!(resolvedOrder.orderId == bytes32(uint256(order.fillDeadline))) || resolvedOrder.orderId != 0' might not hold at end of function.\nERC7683OriginSettler::resolve: ERROR\n - ERC7683_merge.sol:100:5: Postcondition '!(resolvedOrder.orderId == bytes32(uint256(order.fillDeadline))) || resolvedOrder.orderId != 0' might not hold at end of function.\nERC7683OriginSettler::[implicit_constructor]: OK\nERC7683DestinationSettler::fill: OK\nERC7683DestinationSettler::[implicit_constructor]: OK\nIOriginSettler::[implicit_constructor]: OK\nIDestinationSettler::[implicit_constructor]: OK\nErrors were found by the verifier.\n\n"", ""Interaction: 8\ncontracts/erc7683/ERC7683.sol:3:1: Warning: Experimental features are turned on. Do not use experimental features on live deployments.\nERC7683_merge.sol:3:1: Warning: Experimental features are turned on. Do not use experimental features on live deployments.\nERC7683_merge.sol:27:9: Warning: Unused function parameter. Remove or comment out the variable name to silence this warning.\nERC7683_merge.sol:28:9: Warning: Unused function parameter. Remove or comment out the variable name to silence this warning.\nERC7683_merge.sol:80:9: Warning: Unused function parameter. Remove or comment out the variable name to silence this warning.\nERC7683_merge.sol:145:9: Warning: Unused function parameter. Remove or comment out the variable name to silence this warning.\nERC7683_merge.sol:146:9: Warning: Unused function parameter. Remove or comment out the variable name to silence this warning.\nERC7683_merge.sol:127:34: solc-verify warning: Array elements could not be set to default value for this type\nERC7683_merge.sol:128:37: solc-verify warning: Array elements could not be set to default value for this type\nERC7683_merge.sol:129:42: solc-verify warning: Array elements could not be set to default value for this type\nERC7683OriginSettler::openFor: OK\nERC7683OriginSettler::open: ERROR\n - ERC7683_merge.sol:55:5: Postcondition '!(openedOrders[bytes32(uint256(order.fillDeadline))]) || __verifier_old_bool(openedOrders[bytes32(uint256(order.fillDeadline))])  ' might not hold at end of function.\nERC7683OriginSettler::resolveFor: ERROR\n - ERC7683_merge.sol:78:5: Postcondition '(resolvedOrder.orderId != bytes32(uint256(order.fillDeadline))) || (uint256(order.fillDeadline) == 0)' might not hold at end of function.\nERC7683OriginSettler::resolve: ERROR\n - ERC7683_merge.sol:100:5: Postcondition '(resolvedOrder.orderId != bytes32(uint256(order.fillDeadline))) || (uint256(order.fillDeadline) == 0)' might not hold at end of function.\nERC7683OriginSettler::[implicit_constructor]: OK\nERC7683DestinationSettler::fill: OK\nERC7683DestinationSettler::[implicit_constructor]: OK\nIOriginSettler::[implicit_constructor]: OK\nIDestinationSettler::[implicit_constructor]: OK\nErrors were found by the verifier.\n\n"", ""Interaction: 9\ncontracts/erc7683/ERC7683.sol:3:1: Warning: Experimental features are turned on. Do not use experimental features on live deployments.\nERC7683_merge.sol:3:1: Warning: Experimental features are turned on. Do not use experimental features on live deployments.\nERC7683_merge.sol:27:9: Warning: Unused function parameter. Remove or comment out the variable name to silence this warning.\nERC7683_merge.sol:28:9: Warning: Unused function parameter. Remove or comment out the variable name to silence this warning.\nERC7683_merge.sol:80:9: Warning: Unused function parameter. Remove or comment out the variable name to silence this warning.\nERC7683_merge.sol:145:9: Warning: Unused function parameter. Remove or comment out the variable name to silence this warning.\nERC7683_merge.sol:146:9: Warning: Unused function parameter. Remove or comment out the variable name to silence this warning.\nERC7683_merge.sol:127:34: solc-verify warning: Array elements could not be set to default value for this type\nERC7683_merge.sol:128:37: solc-verify warning: Array elements could not be set to default value for this type\nERC7683_merge.sol:129:42: solc-verify warning: Array elements could not be set to default value for this type\nERC7683OriginSettler::openFor: OK\nERC7683OriginSettler::open: ERROR\n - ERC7683_merge.sol:55:5: Postcondition '!(openedOrders[bytes32(uint256(order.fillDeadline))]) || __verifier_old_bool(openedOrders[bytes32(uint256(order.fillDeadline))])  ' might not hold at end of function.\nERC7683OriginSettler::resolveFor: ERROR\n - ERC7683_merge.sol:78:5: Postcondition '!(resolvedOrder.orderId == bytes32(uint256(order.fillDeadline))) || (order.fillDeadline == 0) ' might not hold at end of function.\nERC7683OriginSettler::resolve: ERROR\n - ERC7683_merge.sol:100:5: Postcondition '!(resolvedOrder.orderId == bytes32(uint256(order.fillDeadline))) || (order.fillDeadline == 0) ' might not hold at end of function.\nERC7683OriginSettler::[implicit_constructor]: OK\nERC7683DestinationSettler::fill: OK\nERC7683DestinationSettler::[implicit_constructor]: OK\nIOriginSettler::[implicit_constructor]: OK\nIDestinationSettler::[implicit_constructor]: OK\nErrors were found by the verifier.\n\n"", ""Interaction: 10\ncontracts/erc7683/ERC7683.sol:3:1: Warning: Experimental features are turned on. Do not use experimental features on live deployments.\nERC7683_merge.sol:3:1: Warning: Experimental features are turned on. Do not use experimental features on live deployments.\nERC7683_merge.sol:27:9: Warning: Unused function parameter. Remove or comment out the variable name to silence this warning.\nERC7683_merge.sol:28:9: Warning: Unused function parameter. Remove or comment out the variable name to silence this warning.\nERC7683_merge.sol:80:9: Warning: Unused function parameter. Remove or comment out the variable name to silence this warning.\nERC7683_merge.sol:145:9: Warning: Unused function parameter. Remove or comment out the variable name to silence this warning.\nERC7683_merge.sol:146:9: Warning: Unused function parameter. Remove or comment out the variable name to silence this warning.\nERC7683_merge.sol:127:34: solc-verify warning: Array elements could not be set to default value for this type\nERC7683_merge.sol:128:37: solc-verify warning: Array elements could not be set to default value for this type\nERC7683_merge.sol:129:42: solc-verify warning: Array elements could not be set to default value for this type\nERC7683OriginSettler::openFor: OK\nERC7683OriginSettler::open: ERROR\n - ERC7683_merge.sol:55:5: Postcondition '!(openedOrders[bytes32(uint256(order.fillDeadline))]) || __verifier_old_bool(openedOrders[bytes32(uint256(order.fillDeadline))])  ' might not hold at end of function.\nERC7683OriginSettler::resolveFor: ERROR\n - ERC7683_merge.sol:78:5: Postcondition '!(resolvedOrder.orderId == bytes32(uint256(order.fillDeadline))) || order.fillDeadline == 0' might not hold at end of function.\nERC7683OriginSettler::resolve: ERROR\n - ERC7683_merge.sol:100:5: Postcondition '!(resolvedOrder.orderId == bytes32(uint256(order.fillDeadline))) || order.fillDeadline == 0' might not hold at end of function.\nERC7683OriginSettler::[implicit_constructor]: OK\nERC7683DestinationSettler::fill: OK\nERC7683DestinationSettler::[implicit_constructor]: OK\nIOriginSettler::[implicit_constructor]: OK\nIDestinationSettler::[implicit_constructor]: OK\nErrors were found by the verifier.\n\n""]"
6,288.91179275512695,10,False,,[]
7,303.0758354663849,10,False,,[]
8,41.18771147727966,0,True,"// SPDX-License-Identifier: GPL-3.0-or-later
pragma solidity ^0.5.0;
pragma experimental ABIEncoderV2;

/**
 * @title ERC7683 Interface Template for Postcondition Generation
 * @notice Template file with placeholders for LLM-generated postconditions
 * @dev Includes state variables that postconditions must reference
 * 
 * IMPORTANT NOTES FOR POSTCONDITION GENERATION:
 * - Use exact variable names as declared (e.g., 'order.user', 'usedNonces', 'openedOrders')
 * - Only use __verifier_old_uint() and __verifier_old_bool() functions
 * - For view functions, focus on return value relationships to input parameters
 * - For state-changing functions, focus on state variable changes
 * - OrderId computation: gasless orders use bytes32(order.nonce), onchain orders use bytes32(uint256(order.fillDeadline))
 * - This is a simplified implementation focusing on nonce tracking and order uniqueness
 * 
 * COMMON MISTAKES TO AVOID:
 * - DO NOT use abi.encode(), abi.encodePacked(), or keccak256() in postconditions
 * - DO NOT use block.timestamp, block.number, or any block context variables
 * - DO NOT use the implication operator ""==>"" - use ""!(condition) || condition2"" instead
 * - DO NOT use ""in"" operator or other unsupported Solidity constructs
 * - DO NOT reference undeclared variables or use incorrect parameter names
 * - DO NOT use complex function calls - only simple variable references and comparisons
 * - For forall statements, ALWAYS specify the range: !(0 <= i && i < arr.length) || condition
 * - DO NOT use tuple syntax like (order.nonce, user) - use proper mapping access
 * - DO NOT use array.length in postconditions without proper range specification
 * - Keep postconditions simple and focused on state variable changes only
 * 
 * SYNTAX PATTERNS TO AVOID:
 * - WRONG: abi.encode(order.nonce, order.user) 
 * - WRONG: keccak256(abi.encodePacked(...))
 * - WRONG: block.timestamp >= order.openDeadline
 * - WRONG: condition1 ==> condition2
 * - WRONG: (order.nonce, user) in usedNonces
 * - WRONG: forall (uint x) condition (missing range)
 * - WRONG: usedNonces[order.user].length
 * 
 * CORRECT PATTERNS TO USE:
 * - CORRECT: usedNonces[order.user][order.nonce]
 * - CORRECT: openedOrders[bytes32(order.nonce)]
 * - CORRECT: resolvedOrder.user == order.user
 * - CORRECT: !(condition) || condition2
 * - CORRECT: forall (uint i) !(0 <= i && i < arr.length) || condition
 * - CORRECT: __verifier_old_bool(usedNonces[order.user][order.nonce])
 */

library ERC7683Types {
    struct GaslessCrossChainOrder {
        address originSettler;
        address user;
        uint256 nonce;
        uint256 originChainId;
        uint32 openDeadline;
        uint32 fillDeadline;
        bytes32 orderDataType;
        bytes orderData;
    }

    struct OnchainCrossChainOrder {
        uint32 fillDeadline;
        bytes32 orderDataType;
        bytes orderData;
    }

    struct ResolvedCrossChainOrder {
        address user;
        uint256 originChainId;
        uint32 openDeadline;
        uint32 fillDeadline;
        bytes32 orderId;
        Output[] maxSpent;
        Output[] minReceived;
        FillInstruction[] fillInstructions;
    }

    struct Output {
        bytes32 token;
        uint256 amount;
        bytes32 recipient;
        uint256 chainId;
    }

    struct FillInstruction {
        uint64 destinationChainId;
        bytes32 destinationSettler;
        bytes originData;
    }
}

contract IOriginSettler {
    // Mapping from user address and nonce to usage status
    mapping(address => mapping(uint256 => bool)) public usedNonces;
    // Mapping from order ID to opened status
    mapping(bytes32 => bool) public openedOrders;

    uint256 public constant SUPPORTED_CHAIN_ID = 1;
    bytes32 public constant ORDER_DATA_TYPE_HASH = bytes32(uint256(1));

    event Open(bytes32 indexed orderId, ERC7683Types.ResolvedCrossChainOrder resolvedOrder);

    /// @notice postcondition !(usedNonces[order.user][order.nonce]) && __verifier_old_bool(usedNonces[order.user][order.nonce]) || (usedNonces[order.user][order.nonce] && !__verifier_old_bool(usedNonces[order.user][order.nonce]))
    /// @notice postcondition openedOrders[bytes32(order.nonce)] == true
    function openFor(
        ERC7683Types.GaslessCrossChainOrder calldata order,
        bytes calldata signature,
        bytes calldata originFillerData
    ) external;

    /// @notice postcondition openedOrders[bytes32(uint256(order.fillDeadline))] == true
    function open(ERC7683Types.OnchainCrossChainOrder calldata order) external;

    /// @notice postcondition resolvedOrder.user == order.user
    /// @notice postcondition resolvedOrder.originChainId == order.originChainId
    function resolveFor(
        ERC7683Types.GaslessCrossChainOrder calldata order,
        bytes calldata originFillerData
    ) external view returns (ERC7683Types.ResolvedCrossChainOrder memory resolvedOrder);

    /// @notice postcondition resolvedOrder.user == msg.sender
    /// @notice postcondition resolvedOrder.originChainId == SUPPORTED_CHAIN_ID
    function resolve(
        ERC7683Types.OnchainCrossChainOrder calldata order
    ) external view returns (ERC7683Types.ResolvedCrossChainOrder memory resolvedOrder);
}

contract IDestinationSettler {
    // Mapping from order ID to filled status
    mapping(bytes32 => bool) public filledOrders;

    /// @notice postcondition filledOrders[orderId] == true
    function fill(
        bytes32 orderId,
        bytes calldata originData,
        bytes calldata fillerData
    ) external;
}
",[]
9,260.1644597053528,10,False,,[]
10,366.06108474731445,10,False,,[]
